s,X,Y,phi,U,V
149.900000,-0.976562,0.023438,1.119375,0.000000,0.000000
149.900000,-0.976562,0.039062,0.716929,0.000000,0.000000
149.900000,-0.976562,0.054688,0.509308,0.000000,0.000000
149.900000,-0.976562,0.070312,0.389566,0.000000,0.000000
149.900000,-0.976562,0.085938,0.313723,0.000000,0.000000
149.900000,-0.976562,0.101562,0.261983,0.000000,0.000000
149.900000,-0.976562,0.117188,0.224602,0.000000,0.000000
149.900000,-0.976562,0.132812,0.196377,0.000000,0.000000
149.900000,-0.976562,0.148438,0.174316,0.000000,0.000000
149.900000,-0.976562,0.164062,0.156595,0.000000,0.000000
149.900000,-0.976562,0.179688,0.142040,0.000000,0.000000
149.900000,-0.976562,0.195312,0.129863,0.000000,0.000000
149.900000,-0.976562,0.210938,0.119517,0.000000,0.000000
149.900000,-0.976562,0.226562,0.110611,0.000000,0.000000
149.900000,-0.976562,0.242188,0.102855,0.000000,0.000000
149.900000,-0.976562,0.257812,0.096033,0.000000,0.000000
149.900000,-0.976562,0.273438,0.089980,0.000000,0.000000
149.900000,-0.976562,0.289062,0.084566,0.000000,0.000000
149.900000,-0.976562,0.304688,0.079689,0.000000,0.000000
149.900000,-0.976562,0.320312,0.075267,0.000000,0.000000
149.900000,-0.976562,0.335938,0.071234,0.000000,0.000000
149.900000,-0.976562,0.351562,0.067535,0.000000,0.000000
149.900000,-0.976562,0.367188,0.064126,0.000000,0.000000
149.900000,-0.976562,0.382812,0.060969,0.000000,0.000000
149.900000,-0.976562,0.398438,0.058032,0.000000,0.000000
149.900000,-0.976562,0.414062,0.055288,0.000000,0.000000
149.900000,-0.976562,0.429688,0.052715,0.000000,0.000000
149.900000,-0.976562,0.445312,0.050294,0.000000,0.000000
149.900000,-0.976562,0.460938,0.048006,0.000000,0.000000
149.900000,-0.976562,0.476562,0.045838,0.000000,0.000000
149.900000,-0.976562,0.492188,0.043777,0.000000,0.000000
149.900000,-0.976562,0.507812,0.041811,0.000000,0.000000
149.900000,-0.976562,0.523438,0.039931,0.000000,0.000000
149.900000,-0.976562,0.539062,0.038128,0.000000,0.000000
149.900000,-0.976562,0.554688,0.036393,0.000000,0.000000
149.900000,-0.976562,0.570312,0.034721,0.000000,0.000000
149.900000,-0.976562,0.585938,0.033105,0.000000,0.000000
149.900000,-0.976562,0.601562,0.031540,0.000000,0.000000
149.900000,-0.976562,0.617188,0.030020,0.000000,0.000000
149.900000,-0.976562,0.632812,0.028541,0.000000,0.000000
149.900000,-0.976562,0.648438,0.027100,0.000000,0.000000
149.900000,-0.976562,0.664062,0.025692,0.000000,0.000000
149.900000,-0.976562,0.679688,0.024315,0.000000,0.000000
149.900000,-0.976562,0.695312,0.022965,0.000000,0.000000
149.900000,-0.976562,0.710938,0.021640,0.000000,0.000000
149.900000,-0.976562,0.726562,0.020337,0.000000,0.000000
149.900000,-0.976562,0.742188,0.019054,0.000000,0.000000
149.900000,-0.976562,0.757812,0.017789,0.000000,0.000000
149.900000,-0.976562,0.773438,0.016540,0.000000,0.000000
149.900000,-0.976562,0.789062,0.015305,0.000000,0.000000
149.900000,-0.976562,0.804688,0.014084,0.000000,0.000000
149.900000,-0.976562,0.820312,0.012874,0.000000,0.000000
149.900000,-0.976562,0.835938,0.011674,0.000000,0.000000
149.900000,-0.976562,0.851562,0.010483,0.000000,0.000000
149.900000,-0.976562,0.867188,0.009300,0.000000,0.000000
149.900000,-0.976562,0.882812,0.008123,0.000000,0.000000
149.900000,-0.976562,0.898438,0.006952,0.000000,0.000000
149.900000,-0.976562,0.914062,0.005787,0.000000,0.000000
149.900000,-0.976562,0.929688,0.004625,0.000000,0.000000
149.900000,-0.976562,0.945312,0.003466,0.000000,0.000000
149.900000,-0.976562,0.960938,0.002309,0.000000,0.000000
149.900000,-0.976562,0.976562,0.001154,0.000000,0.000000
149.900000,-0.960938,0.023438,1.496394,0.000000,0.000000
149.900000,-0.960938,0.039062,1.131395,0.000000,0.000000
149.900000,-0.960938,0.054688,0.882189,0.000000,0.000000
149.900000,-0.960938,0.070312,0.710980,0.000000,0.000000
149.900000,-0.960938,0.085938,0.590029,0.000000,0.000000
149.900000,-0.960938,0.101562,0.501672,0.000000,0.000000
149.900000,-0.960938,0.117188,0.434992,0.000000,0.000000
149.900000,-0.960938,0.132812,0.383182,0.000000,0.000000
149.900000,-0.960938,0.148438,0.341895,0.000000,0.000000
149.900000,-0.960938,0.164062,0.308275,0.000000,0.000000
149.900000,-0.960938,0.179688,0.280386,0.000000,0.000000
149.900000,-0.960938,0.195312,0.256882,0.000000,0.000000
149.900000,-0.960938,0.210938,0.236800,0.000000,0.000000
149.900000,-0.960938,0.226562,0.219434,0.000000,0.000000
149.900000,-0.960938,0.242188,0.204259,0.000000,0.000000
149.900000,-0.960938,0.257812,0.190874,0.000000,0.000000
149.900000,-0.960938,0.273438,0.178968,0.000000,0.000000
149.900000,-0.960938,0.289062,0.168299,0.000000,0.000000
