s,X,Y,phi,U,V
9.990000,-0.976562,0.046875,-0.057490,0.000000,0.000000
9.990000,-0.976562,0.078125,-0.445340,0.000000,0.000000
9.990000,-0.976562,0.109375,-0.619887,0.000000,0.000000
9.990000,-0.976562,0.140625,-0.713359,0.000000,0.000000
9.990000,-0.976562,0.171875,-0.770381,0.000000,0.000000
9.990000,-0.976562,0.203125,-0.808537,0.000000,0.000000
9.990000,-0.976562,0.234375,-0.835800,0.000000,0.000000
9.990000,-0.976562,0.265625,-0.856235,0.000000,0.000000
9.990000,-0.976562,0.296875,-0.872113,0.000000,0.000000
9.990000,-0.976562,0.328125,-0.884802,0.000000,0.000000
9.990000,-0.976562,0.359375,-0.895172,0.000000,0.000000
9.990000,-0.976562,0.390625,-0.903803,0.000000,0.000000
9.990000,-0.976562,0.421875,-0.911097,0.000000,0.000000
9.990000,-0.976562,0.453125,-0.917342,0.000000,0.000000
9.990000,-0.976562,0.484375,-0.922749,0.000000,0.000000
9.990000,-0.976562,0.515625,-0.927475,0.000000,0.000000
9.990000,-0.976562,0.546875,-0.931643,0.000000,0.000000
9.990000,-0.976562,0.578125,-0.935346,0.000000,0.000000
9.990000,-0.976562,0.609375,-0.938660,0.000000,0.000000
9.990000,-0.976562,0.640625,-0.941644,0.000000,0.000000
9.990000,-0.976562,0.671875,-0.944348,0.000000,0.000000
9.990000,-0.976562,0.703125,-0.946813,0.000000,0.000000
9.990000,-0.976562,0.734375,-0.949071,0.000000,0.000000
9.990000,-0.976562,0.765625,-0.951151,0.000000,0.000000
9.990000,-0.976562,0.796875,-0.953077,0.000000,0.000000
9.990000,-0.976562,0.828125,-0.954869,0.000000,0.000000
9.990000,-0.976562,0.859375,-0.956546,0.000000,0.000000
9.990000,-0.976562,0.890625,-0.958122,0.000000,0.000000
9.990000,-0.976562,0.921875,-0.959611,0.000000,0.000000
9.990000,-0.976562,0.953125,-0.961025,0.000000,0.000000
9.990000,-0.976562,0.984375,-0.962375,0.000000,0.000000
9.990000,-0.976562,1.015625,-0.963670,0.000000,0.000000
9.990000,-0.976562,1.046875,-0.964918,0.000000,0.000000
9.990000,-0.976562,1.078125,-0.966127,0.000000,0.000000
9.990000,-0.976562,1.109375,-0.967303,0.000000,0.000000
9.990000,-0.976562,1.140625,-0.968454,0.000000,0.000000
9.990000,-0.976562,1.171875,-0.969583,0.000000,0.000000
9.990000,-0.976562,1.203125,-0.970697,0.000000,0.000000
9.990000,-0.976562,1.234375,-0.971799,0.000000,0.000000
9.990000,-0.976562,1.265625,-0.972894,0.000000,0.000000
9.990000,-0.976562,1.296875,-0.973985,0.000000,0.000000
9.990000,-0.976562,1.328125,-0.975075,0.000000,0.000000
9.990000,-0.976562,1.359375,-0.976167,0.000000,0.000000
9.990000,-0.976562,1.390625,-0.977263,0.000000,0.000000
9.990000,-0.976562,1.421875,-0.978366,0.000000,0.000000
9.990000,-0.976562,1.453125,-0.979477,0.000000,0.000000
9.990000,-0.976562,1.484375,-0.980598,0.000000,0.000000
9.990000,-0.976562,1.515625,-0.981730,0.000000,0.000000
9.990000,-0.976562,1.546875,-0.982873,0.000000,0.000000
9.990000,-0.976562,1.578125,-0.984028,0.000000,0.000000
9.990000,-0.976562,1.609375,-0.985196,0.000000,0.000000
9.990000,-0.976562,1.640625,-0.986376,0.000000,0.000000
9.990000,-0.976562,1.671875,-0.987568,0.000000,0.000000
9.990000,-0.976562,1.703125,-0.988773,0.000000,0.000000
9.990000,-0.976562,1.734375,-0.989989,0.000000,0.000000
9.990000,-0.976562,1.765625,-0.991215,0.000000,0.000000
9.990000,-0.976562,1.796875,-0.992451,0.000000,0.000000
9.990000,-0.976562,1.828125,-0.993695,0.000000,0.000000
9.990000,-0.976562,1.859375,-0.994947,0.000000,0.000000
9.990000,-0.976562,1.890625,-0.996205,0.000000,0.000000
9.990000,-0.976562,1.921875,-0.997468,0.000000,0.000000
9.990000,-0.976562,1.953125,-0.998733,0.000000,0.000000
9.990000,-0.960938,0.046875,0.342689,0.000000,0.000000
9.990000,-0.960938,0.078125,-0.063431,0.000000,0.000000
9.990000,-0.960938,0.109375,-0.305435,0.000000,0.000000
9.990000,-0.960938,0.140625,-0.456239,0.000000,0.000000
9.990000,-0.960938,0.171875,-0.556042,0.000000,0.000000
9.990000,-0.960938,0.203125,-0.625895,0.000000,0.000000
9.990000,-0.960938,0.234375,-0.677130,0.000000,0.000000
9.990000,-0.960938,0.265625,-0.716158,0.000000,0.000000
9.990000,-0.960938,0.296875,-0.746808,0.000000,0.000000
9.990000,-0.960938,0.328125,-0.771481,0.000000,0.000000
9.990000,-0.960938,0.359375,-0.791750,0.000000,0.000000
9.990000,-0.960938,0.390625,-0.808687,0.000000,0.000000
9.990000,-0.960938,0.421875,-0.823044,0.000000,0.000000
9.990000,-0.960938,0.453125,-0.835364,0.000000,0.000000
9.990000,-0.960938,0.484375,-0.846049,0.000000,0.000000
9.990000,-0.960938,0.515625,-0.855404,0.000000,0.000000
9.990000,-0.960938,0.546875,-0.863663,0.000000,0.000000
9.990000,-0.960938,0.578125,-0.871009,0.000000,0.000000
9.990000,-0.960938,0.609375,-0.877589,0.000000,0.000000
9.990000,-0.960938,0.640625,-0.883519,0.000000,0.000000
9.990000,-0.960938,0.671875,-0.888896,0.000000,0.000000
9.990000,-0.960938,0.703125,-0.893798,0.000000,0.000000
9.990000,-0.960938,0.734375,-0.898292,0.000000,0.000000
9.990000,-0.960938,0.765625,-0.902434,0.000000,0.000000
9.990000,-0.960938,0.796875,-0.906270,0.000000,0.000000
9.990000,-0.960938,0.828125,-0.909841,0.000000,0.000000
9.990000,-0.960938,0.859375,-0.913183,0.000000,0.000000
9.990000,-0.960938,0.890625,-0.916325,0.000000,0.000000
9.990000,-0.960938,0.921875,-0.919295,0.000000,0.000000
9.990000,-0.960938,0.953125,-0.922116,0.000000,0.000000
9.990000,-0.960938,0.984375,-0.924809,0.000000,0.000000
9.990000,-0.960938,1.015625,-0.927393,0.000000,0.000000
9.990000,-0.960938,1.046875,-0.929884,0.000000,0.000000
9.990000,-0.960938,1.078125,-0.932297,0.000000,0.000000
9.990000,-0.960938,1.109375,-0.934646,0.000000,0.000000
9.990000,-0.960938,1.140625,-0.936943,0.000000,0.000000
9.990000,-0.960938,1.171875,-0.939199,0.000000,0.000000
9.990000,-0.960938,1.203125,-0.941423,0.000000,0.000000
9.990000,-0.960938,1.234375,-0.943625,0.000000,0.000000
9.990000,-0.960938,1.265625,-0.945812,0.000000,0.000000
9.990000,-0.960938,1.296875,-0.947991,0.000000,0.000000
9.990000,-0.960938,1.328125,-0.950169,0.000000,0.000000
9.990000,-0.960938,1.359375,-0.952351,0.000000,0.000000
