s,X,Y,phi,U,V
4.990000,-0.953125,0.093750,0.000743,0.000000,0.000000
4.990000,-0.953125,0.156250,0.002108,0.000000,0.000000
4.990000,-0.953125,0.218750,0.003936,0.000000,0.000000
4.990000,-0.953125,0.281250,0.005924,0.000000,0.000000
4.990000,-0.953125,0.343750,0.007753,0.000000,0.000000
4.990000,-0.953125,0.406250,0.009172,0.000000,0.000000
4.990000,-0.953125,0.468750,0.010030,0.000000,0.000000
4.990000,-0.953125,0.531250,0.010274,0.000000,0.000000
4.990000,-0.953125,0.593750,0.009936,0.000000,0.000000
4.990000,-0.953125,0.656250,0.009106,0.000000,0.000000
4.990000,-0.953125,0.718750,0.007913,0.000000,0.000000
4.990000,-0.953125,0.781250,0.006507,0.000000,0.000000
4.990000,-0.953125,0.843750,0.005041,0.000000,0.000000
4.990000,-0.953125,0.906250,0.003658,0.000000,0.000000
4.990000,-0.953125,0.968750,0.002465,0.000000,0.000000
4.990000,-0.953125,1.031250,0.001528,0.000000,0.000000
4.990000,-0.953125,1.093750,0.000861,0.000000,0.000000
4.990000,-0.953125,1.156250,0.000436,0.000000,0.000000
4.990000,-0.953125,1.218750,0.000195,0.000000,0.000000
4.990000,-0.953125,1.281250,0.000076,0.000000,0.000000
4.990000,-0.953125,1.343750,0.000025,0.000000,0.000000
4.990000,-0.953125,1.406250,0.000007,0.000000,0.000000
4.990000,-0.953125,1.468750,0.000001,0.000000,0.000000
4.990000,-0.953125,1.531250,0.000000,0.000000,0.000000
4.990000,-0.953125,1.593750,0.000000,0.000000,0.000000
4.990000,-0.953125,1.656250,0.000000,0.000000,0.000000
4.990000,-0.953125,1.718750,0.000000,0.000000,0.000000
4.990000,-0.953125,1.781250,0.000000,0.000000,0.000000
4.990000,-0.953125,1.843750,0.000000,0.000000,0.000000
4.990000,-0.953125,1.906250,0.000000,0.000000,0.000000
4.990000,-0.921875,0.093750,0.001644,0.000000,0.000000
4.990000,-0.921875,0.156250,0.004585,0.000000,0.000000
4.990000,-0.921875,0.218750,0.008425,0.000000,0.000000
4.990000,-0.921875,0.281250,0.012513,0.000000,0.000000
4.990000,-0.921875,0.343750,0.016198,0.000000,0.000000
4.990000,-0.921875,0.406250,0.018993,0.000000,0.000000
4.990000,-0.921875,0.468750,0.020621,0.000000,0.000000
4.990000,-0.921875,0.531250,0.021007,0.000000,0.000000
4.990000,-0.921875,0.593750,0.020230,0.000000,0.000000
4.990000,-0.921875,0.656250,0.018481,0.000000,0.000000
4.990000,-0.921875,0.718750,0.016023,0.000000,0.000000
4.990000,-0.921875,0.781250,0.013157,0.000000,0.000000
4.990000,-0.921875,0.843750,0.010186,0.000000,0.000000
4.990000,-0.921875,0.906250,0.007389,0.000000,0.000000
4.990000,-0.921875,0.968750,0.004982,0.000000,0.000000
4.990000,-0.921875,1.031250,0.003092,0.000000,0.000000
4.990000,-0.921875,1.093750,0.001747,0.000000,0.000000
4.990000,-0.921875,1.156250,0.000887,0.000000,0.000000
4.990000,-0.921875,1.218750,0.000398,0.000000,0.000000
4.990000,-0.921875,1.281250,0.000155,0.000000,0.000000
4.990000,-0.921875,1.343750,0.000052,0.000000,0.000000
4.990000,-0.921875,1.406250,0.000014,0.000000,0.000000
4.990000,-0.921875,1.468750,0.000003,0.000000,0.000000
4.990000,-0.921875,1.531250,0.000001,0.000000,0.000000
4.990000,-0.921875,1.593750,0.000000,0.000000,0.000000
4.990000,-0.921875,1.656250,0.000000,0.000000,0.000000
4.990000,-0.921875,1.718750,0.000000,0.000000,0.000000
4.990000,-0.921875,1.781250,0.000000,0.000000,0.000000
4.990000,-0.921875,1.843750,0.000000,0.000000,0.000000
4.990000,-0.921875,1.906250,0.000000,0.000000,0.000000
4.990000,-0.890625,0.093750,0.002884,0.000000,0.000000
4.990000,-0.890625,0.156250,0.007830,0.000000,0.000000
4.990000,-0.890625,0.218750,0.014044,0.000000,0.000000
4.990000,-0.890625,0.281250,0.020428,0.000000,0.000000
4.990000,-0.890625,0.343750,0.025988,0.000000,0.000000
4.990000,-0.890625,0.406250,0.030042,0.000000,0.000000
4.990000,-0.890625,0.468750,0.032247,0.000000,0.000000
4.990000,-0.890625,0.531250,0.032554,0.000000,0.000000
4.990000,-0.890625,0.593750,0.031129,0.000000,0.000000
4.990000,-0.890625,0.656250,0.028286,0.000000,0.000000
4.990000,-0.890625,0.718750,0.024427,0.000000,0.000000
4.990000,-0.890625,0.781250,0.020002,0.000000,0.000000
4.990000,-0.890625,0.843750,0.015460,0.000000,0.000000
4.990000,-0.890625,0.906250,0.011208,0.000000,0.000000
4.990000,-0.890625,0.968750,0.007560,0.000000,0.000000
4.990000,-0.890625,1.031250,0.004699,0.000000,0.000000
4.990000,-0.890625,1.093750,0.002661,0.000000,0.000000
4.990000,-0.890625,1.156250,0.001356,0.000000,0.000000
4.990000,-0.890625,1.218750,0.000612,0.000000,0.000000
4.990000,-0.890625,1.281250,0.000241,0.000000,0.000000
4.990000,-0.890625,1.343750,0.000081,0.000000,0.000000
4.990000,-0.890625,1.406250,0.000023,0.000000,0.000000
4.990000,-0.890625,1.468750,0.000005,0.000000,0.000000
4.990000,-0.890625,1.531250,0.000001,0.000000,0.000000
4.990000,-0.890625,1.593750,0.000000,0.000000,0.000000
4.990000,-0.890625,1.656250,0.000000,0.000000,0.000000
4.990000,-0.890625,1.718750,0.000000,0.000000,0.000000
