s,X,Y,phi,U,V
9.999000,-0.988281,0.023438,0.000000,0.000000,0.000000
9.999000,-0.988281,0.039062,0.000000,0.000000,0.000000
9.999000,-0.988281,0.054688,0.000000,0.000000,0.000000
9.999000,-0.988281,0.070312,0.000000,0.000000,0.000000
9.999000,-0.988281,0.085938,0.000000,0.000000,0.000000
9.999000,-0.988281,0.101562,0.000000,0.000000,0.000000
9.999000,-0.988281,0.117188,0.000000,0.000000,0.000000
9.999000,-0.988281,0.132812,0.000000,0.000000,0.000000
9.999000,-0.988281,0.148438,0.000000,0.000000,0.000000
9.999000,-0.988281,0.164062,0.000000,0.000000,0.000000
9.999000,-0.988281,0.179688,0.000000,0.000000,0.000000
9.999000,-0.988281,0.195312,0.000000,0.000000,0.000000
9.999000,-0.988281,0.210938,0.000000,0.000000,0.000000
9.999000,-0.988281,0.226562,0.000000,0.000000,0.000000
9.999000,-0.988281,0.242188,0.000000,0.000000,0.000000
9.999000,-0.988281,0.257812,0.000000,0.000000,0.000000
9.999000,-0.988281,0.273438,0.000000,0.000000,0.000000
9.999000,-0.988281,0.289062,0.000000,0.000000,0.000000
9.999000,-0.988281,0.304688,0.000000,0.000000,0.000000
9.999000,-0.988281,0.320312,0.000000,0.000000,0.000000
9.999000,-0.988281,0.335938,0.000000,0.000000,0.000000
9.999000,-0.988281,0.351562,0.000000,0.000000,0.000000
9.999000,-0.988281,0.367188,0.000000,0.000000,0.000000
9.999000,-0.988281,0.382812,0.000000,0.000000,0.000000
9.999000,-0.988281,0.398438,0.000000,0.000000,0.000000
9.999000,-0.988281,0.414062,0.000000,0.000000,0.000000
9.999000,-0.988281,0.429688,0.000000,0.000000,0.000000
9.999000,-0.988281,0.445312,0.000000,0.000000,0.000000
9.999000,-0.988281,0.460938,0.000000,0.000000,0.000000
9.999000,-0.988281,0.476562,0.000000,0.000000,0.000000
9.999000,-0.988281,0.492188,0.000000,0.000000,0.000000
9.999000,-0.988281,0.507812,0.000000,0.000000,0.000000
9.999000,-0.988281,0.523438,0.000000,0.000000,0.000000
9.999000,-0.988281,0.539062,0.000000,0.000000,0.000000
9.999000,-0.988281,0.554688,0.000000,0.000000,0.000000
9.999000,-0.988281,0.570312,0.000000,0.000000,0.000000
9.999000,-0.988281,0.585938,0.000000,0.000000,0.000000
9.999000,-0.988281,0.601562,0.000000,0.000000,0.000000
9.999000,-0.988281,0.617188,0.000000,0.000000,0.000000
9.999000,-0.988281,0.632812,0.000000,0.000000,0.000000
9.999000,-0.988281,0.648438,0.000000,0.000000,0.000000
9.999000,-0.988281,0.664062,0.000000,0.000000,0.000000
9.999000,-0.988281,0.679688,0.000000,0.000000,0.000000
9.999000,-0.988281,0.695312,0.000000,0.000000,0.000000
9.999000,-0.988281,0.710938,0.000000,0.000000,0.000000
9.999000,-0.988281,0.726562,0.000000,0.000000,0.000000
9.999000,-0.988281,0.742188,0.000000,0.000000,0.000000
9.999000,-0.988281,0.757812,0.000000,0.000000,0.000000
9.999000,-0.988281,0.773438,0.000000,0.000000,0.000000
9.999000,-0.988281,0.789062,0.000000,0.000000,0.000000
