s,X,Y,phi,U,V
9.990000,-0.970000,0.060000,0.000106,0.000000,0.000000
9.990000,-0.970000,0.100000,0.000385,0.000000,0.000000
9.990000,-0.970000,0.140000,0.000877,0.000000,0.000000
9.990000,-0.970000,0.180000,0.001569,0.000000,0.000000
9.990000,-0.970000,0.220000,0.002408,0.000000,0.000000
9.990000,-0.970000,0.260000,0.003314,0.000000,0.000000
9.990000,-0.970000,0.300000,0.004205,0.000000,0.000000
9.990000,-0.970000,0.340000,0.005012,0.000000,0.000000
9.990000,-0.970000,0.380000,0.005680,0.000000,0.000000
9.990000,-0.970000,0.420000,0.006173,0.000000,0.000000
9.990000,-0.970000,0.460000,0.006475,0.000000,0.000000
9.990000,-0.970000,0.500000,0.006581,0.000000,0.000000
9.990000,-0.970000,0.540000,0.006499,0.000000,0.000000
9.990000,-0.970000,0.580000,0.006246,0.000000,0.000000
9.990000,-0.970000,0.620000,0.005844,0.000000,0.000000
9.990000,-0.970000,0.660000,0.005322,0.000000,0.000000
9.990000,-0.970000,0.700000,0.004711,0.000000,0.000000
9.990000,-0.970000,0.740000,0.004048,0.000000,0.000000
9.990000,-0.970000,0.780000,0.003373,0.000000,0.000000
9.990000,-0.970000,0.820000,0.002723,0.000000,0.000000
9.990000,-0.970000,0.860000,0.002131,0.000000,0.000000
9.990000,-0.970000,0.900000,0.001622,0.000000,0.000000
9.990000,-0.970000,0.940000,0.001208,0.000000,0.000000
9.990000,-0.970000,0.980000,0.000889,0.000000,0.000000
9.990000,-0.970000,1.020000,0.000657,0.000000,0.000000
9.990000,-0.970000,1.060000,0.000456,0.000000,0.000000
9.990000,-0.970000,1.100000,0.000292,0.000000,0.000000
9.990000,-0.970000,1.140000,0.000170,0.000000,0.000000
9.990000,-0.970000,1.180000,0.000088,0.000000,0.000000
9.990000,-0.970000,1.220000,0.000039,0.000000,0.000000
9.990000,-0.970000,1.260000,0.000015,0.000000,0.000000
9.990000,-0.970000,1.300000,0.000004,0.000000,0.000000
9.990000,-0.970000,1.340000,0.000001,0.000000,0.000000
9.990000,-0.970000,1.380000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.420000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.460000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.500000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.540000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.580000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.620000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.660000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.700000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.740000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.780000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.820000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.860000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.900000,0.000000,0.000000,0.000000
9.990000,-0.970000,1.940000,0.000000,0.000000,0.000000
9.990000,-0.950000,0.060000,0.000230,0.000000,0.000000
9.990000,-0.950000,0.100000,0.000822,0.000000,0.000000
9.990000,-0.950000,0.140000,0.001850,0.000000,0.000000
9.990000,-0.950000,0.180000,0.003283,0.000000,0.000000
9.990000,-0.950000,0.220000,0.005001,0.000000,0.000000
9.990000,-0.950000,0.260000,0.006843,0.000000,0.000000
9.990000,-0.950000,0.300000,0.008645,0.000000,0.000000
9.990000,-0.950000,0.340000,0.010265,0.000000,0.000000
9.990000,-0.950000,0.380000,0.011599,0.000000,0.000000
